,open,close,high,low,total_turnover,volume
2010/3/31,7.991,7.839,7.9978,7.7984,710514261.4,84478326
2010/4/1,7.8626,7.9066,7.9741,7.7951,712145592.4,84370338
2010/4/2,7.9268,7.9167,7.9403,7.8424,457640299.8,54162438
2010/4/6,7.9606,7.8964,8.062,7.8593,556583860.1,65390097
2010/4/7,7.8897,7.7207,7.9167,7.6633,730335826.5,88037386
2010/4/8,7.7106,7.6261,7.714,7.5416,1009933591,123970101
2010/4/9,7.6261,7.6565,7.6835,7.6025,498836800.5,60938846
2010/4/12,7.6768,7.4639,7.6903,7.4132,1098010943,136794187
2010/4/13,7.491,7.5687,7.6396,7.4504,1003910820,124191213
2010/4/14,7.5687,7.5112,7.5856,7.4436,734720486.4,91750554
2010/4/15,7.5281,7.5687,7.5687,7.4268,790372996.4,98708198
2010/4/16,7.5281,7.4369,7.5281,7.4268,632291279.1,79202664
2010/4/19,7.2815,6.7848,7.2916,6.7544,1708546636,228614193
2010/4/20,6.7983,6.68,6.8692,6.5888,858886247.8,120305940
2010/4/21,6.6935,6.8017,6.8118,6.6226,742144448.9,103289737
2010/4/22,6.7577,6.6192,6.7577,6.5246,884329055.4,125027043
2010/4/23,6.6361,6.8118,6.947,6.5516,1106582140,153735518
2010/4/26,6.7577,6.7375,6.876,6.6564,647506072.6,89113632
2010/4/27,6.6834,6.7071,6.8287,6.6057,692500027.3,96464945
2010/4/28,6.6699,6.805,6.8186,6.6226,668218588.2,92603888
2010/4/29,6.8659,6.8152,6.9706,6.8017,749244078.4,101811664
2010/4/30,6.8422,6.947,6.9571,6.805,662829210.8,89674801
2010/5/4,6.7915,6.7577,6.8591,6.68,574413596.6,79279838
2010/5/5,6.7881,6.724,6.8321,6.5415,1283692520,179828796
2010/5/6,6.653,6.2171,6.653,6.1867,1296218467,189609044
2010/5/7,6.0921,6.1698,6.2678,6.0651,752185918,114070116
2010/5/10,6.2002,6.2273,6.3117,6.1462,710974039.6,106836539
2010/5/11,6.3725,5.9029,6.3827,5.8995,1017121619,155303392
2010/5/12,5.8454,6.1191,6.1833,5.7981,931251266,144057366
2010/5/13,6.0853,6.3117,6.3928,6.082,1049525941,156909865
2010/5/14,6.3117,6.2002,6.3151,6.1495,487732513.1,73440896
2010/5/17,6.082,5.8894,6.0887,5.859,574713343.1,90300522
2010/5/18,5.913,6.0718,6.1191,5.8454,641553710.9,100058364
2010/5/19,5.9941,6.0009,6.1394,5.8826,456208283.3,70877376
2010/5/20,5.9367,5.9299,6.0989,5.9063,387168261.5,60352678
2010/5/21,5.7779,6.0211,6.038,5.7508,386738325.6,61045537
2010/5/24,6.0549,6.2137,6.2847,6.0549,582619378.2,87897322
2010/5/25,6.1495,6.011,6.1664,5.9975,441872587.7,67999194
2010/5/26,6.0414,6.0482,6.1394,6.0178,308368934.2,47447051
2010/5/27,6.038,6.1056,6.1225,5.8995,496702091.5,76907515
2010/5/28,6.1664,6.109,6.2137,6.0887,461689406.2,70218842
2010/5/31,6.0482,5.9164,6.1495,5.913,480683764.5,74776112
2010/6/1,5.8894,5.8454,5.9772,5.8083,379058927.9,60297805
2010/6/2,5.8285,5.8218,5.8826,5.717,430720692.4,69467273
2010/6/3,5.8488,5.8184,5.984,5.8184,501143178.5,79505081
2010/6/4,5.815,5.8454,5.913,5.7981,232824769.7,37251569
2010/6/7,5.7779,5.7137,5.8454,5.6799,410550920.4,66768059
2010/6/8,5.717,5.6427,5.7508,5.5751,286156168.7,47092885
2010/6/9,5.6731,5.9705,6.011,5.6022,857978643.4,137063229
2010/6/10,5.8353,5.7812,5.9029,5.7711,489563051,78697472
2010/6/11,5.815,5.7948,5.8995,5.7441,362292826.8,58056208
2010/6/17,5.7948,5.7948,5.7948,5.7948,0,0
2010/6/18,5.8083,5.8522,5.9975,5.7948,785248773.5,123999223
2010/6/21,5.8488,6.1833,6.2577,5.8488,1063389304,163069873
2010/6/22,6.1664,6.261,6.359,6.1191,770488726.4,115330234
2010/6/23,6.1833,6.2002,6.2915,6.1259,597274358,89767388
2010/6/24,6.1833,6.261,6.3557,6.1597,432905288.9,64562280
2010/6/25,6.2137,6.1191,6.2509,6.0921,415194024,62899988
2010/6/28,6.0989,6.2475,6.2847,6.0989,448791835.4,67502064
2010/6/29,6.261,5.9164,6.261,5.913,549134827.3,84791785
2010/6/30,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/1,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/2,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/5,5.9164,5.9164,5.9164,5.9164,0,0
